date,year,week,muscle_group,exercise_name,weight,reps,volume,work_rate,frequency,max_1RM
2026-03-14,2026,11,Chest,Bench Press (Barbell),45.0,12.0,540.0,187.0065789473684,1,246.73246198986396
2026-03-14,2026,11,Chest,Bench Press (Barbell),135.0,5.0,675.0,187.0065789473684,1,246.73246198986396
2026-03-14,2026,11,Chest,Bench Press (Barbell),185.0,5.0,925.0,187.0065789473684,1,246.73246198986396
2026-03-14,2026,11,Chest,Bench Press (Barbell),185.0,10.0,1850.0,187.0065789473684,1,246.73246198986396
2026-03-14,2026,11,Chest,Bench Press (Barbell),205.0,3.0,615.0,187.0065789473684,1,246.73246198986396
2026-03-14,2026,11,Chest,Feet Up Bench Press (Barbell),135.0,8.0,1080.0,187.0065789473684,1,167.61857462130615
2026-03-14,2026,11,Shoulders,Overhead Press (Barbell),115.0,5.0,575.0,68.42105263157895,2,129.38793879387939
2026-03-14,2026,11,Shoulders,Overhead Press (Barbell),115.0,3.0,345.0,68.42105263157895,2,129.38793879387939
2026-03-14,2026,11,Triceps,Triceps Dip,,12.0,,0.0,2,
2026-03-14,2026,11,Triceps,Triceps Dip,,10.0,,0.0,2,
2026-03-14,2026,11,Triceps,Triceps Dip,,12.0,,0.0,2,
2026-03-14,2026,11,Shoulders,Lateral Raise (Dumbbell),10.0,12.0,120.0,68.42105263157895,2,14.405070584845864
2026-03-14,2026,11,Abdominals,Crunch (Machine),185.0,12.0,2220.0,421.05263157894734,2,273.6963411120714
2026-03-14,2026,11,Abdominals,Crunch (Machine),190.0,12.0,2280.0,421.05263157894734,2,273.6963411120714
2026-03-14,2026,11,Abdominals,Crunch (Machine),190.0,10.0,1900.0,421.05263157894734,2,273.6963411120714
2026-03-12,2026,11,Biceps,Concentration Curl,35.0,16.0,560.0,93.33333333333333,1,60.034305317324176
2026-03-12,2026,11,Biceps,Concentration Curl,35.0,12.0,420.0,93.33333333333333,1,60.034305317324176
2026-03-12,2026,11,Biceps,Concentration Curl,35.0,12.0,420.0,93.33333333333333,1,60.034305317324176
2026-03-12,2026,11,Shoulders,Shoulder Press (Dumbbell),35.0,12.0,420.0,86.33333333333333,2,52.521008403361336
2026-03-12,2026,11,Shoulders,Shoulder Press (Dumbbell),35.0,13.0,455.0,86.33333333333333,2,52.521008403361336
2026-03-12,2026,11,Shoulders,Shoulder Press (Dumbbell),35.0,12.0,420.0,86.33333333333333,2,52.521008403361336
2026-03-12,2026,11,Abdominals,Jackknife Sit Up,,25.0,,0.0,2,
2026-03-12,2026,11,Abdominals,Jackknife Sit Up,,25.0,,0.0,2,
2026-03-12,2026,11,Abdominals,Jackknife Sit Up,,25.0,,0.0,2,
2026-03-12,2026,11,Abdominals,Jackknife Sit Up,,25.0,,0.0,2,
2026-03-10,2026,11,other,Clean and Press,135.0,3.0,405.0,79.85915492957747,1,142.94790343074968
2026-03-10,2026,11,Glutes,Deadlift (Barbell),45.0,12.0,540.0,182.06572769953053,2,354.4104410441044
2026-03-10,2026,11,Glutes,Deadlift (Barbell),135.0,5.0,675.0,182.06572769953053,2,354.4104410441044
